Conservative
	[4]Military Research Grant; 2x 15% General Military Research Boosts
	[e-ec-u,6]The Rural Class; #adds rural_development_spirit but does not conflict with existing economy laws. Only maoism can do this as it is rural marxism.
	[s-l-l,8]Worker's Bill of Rights; gen_pro_union_2
Fascist #Third Positionist
	[4]Firebranding; -2.5% Stability, +2.5% War Support
	[mil,6]Military-Industrial Buildup; {180 days} military_boost_general
	[inf,6]Infrastructure Project; {180 days} infrastructure_boost_general
	[con,6]Civilian Industry Zoning; {180 days} civilian_boost_general
	[e-e-a,6]Military Colleges; military_colleges
	[e-h-l,4]Universal Healthcare; socialism_healthcare
	[e-h-l,8]Adv UHC; communism_healthcare
	[e-f-r,6]Empower the Corporations; save_money
	[e-f-r,12]Centralize Corporate Control; save_more_money
	[e-ps,4]Police Statism; police_state
	[e-m-pm,4]Strengthen the Army; more_mil_staff
	[e-m-pm,8]Mobilize the Country; even_more_mil_staff
	[s-l-li,8]Ban Private Unions; gen_pro_employer_2
Nationalism
	[4]Firebranding; -2.5% Stability, +2.5% War Support
	[mil,6]Military-Industrial Buildup; {180 days} military_boost_general
	[con,6]Civilian Industry Zoning; {180 days} civilian_boost_general
	[e-e-a,6]Military Colleges; military_colleges
	[e-h-u,4]Medical Science Funding; medical_science
	[e-f-c,4]Subsidies; subsidies_basic
	[e-m-pm,4]Strengthen the Army; more_mil_staff
	[e-m-pm,8]Mobilize the Country; even_more_mil_staff
	[s-l-li,8]Restrict Unions; gen_pro_employer_1
Monarchist
	[mil,6]Military-Industrial Buildup; {180 days} military_boost_general
	[con,6]Civilian Industry Zoning; {180 days} civilian_boost_general
	[e-e-r,4]Prestigous Academies; more_escuelas
	[e-e-a,6]Royal Military Colleges; #adds military_colleges but does not conflcit with existing education laws. Only monarchs can do this because they implement it this way.
	[e-h-li,4]Reduce Medical Expenses; reduce_medical_bills
	[e-f-c,4]Royal Treasury; subsidies_basic
	[e-m-pm,4]Strengthen the Army; more_mil_staff
	[e-m-pm,8]Mobilize the Country; even_more_mil_staff
Neutrality #Reactionary
	[4]Normalcy of Tradition; +2.5% Stability
	[4]Firebranding; -2.5% Stability, +2.5% War Support
	[inf,6]Infrastructure Project; {180 days} infrastructure_boost_general
	[e-e-li,4]Reduce Education Spending; simplified_education
	[e-e-li,8]Privatize Education; privatized_education
	[e-h-li,4]Reduce Medical Expenses; reduce_medical_bills
	[e-h-li,8]Privatize Healthcare; privatized_healthcare
	[e-f-r,6]Reduce Government Spending; save_money
	[e-f-r,12]Cut Public Pensions; save_more_money
	[e-m-pm,4]Strengthen the Army; more_mil_staff
	[e-m-pm,8]Mobilize the Country; even_more_mil_staff
	[s-l-li,8]Restrict Unions; gen_pro_employer_1
Radican Shiaism
	[4]Encourage Religious Unity; +2.5% Stability
	[4]Envoke Fanaticism; +2.5% War Support
	[mil,6]Military-Industrial Buildup; {180 days} military_boost_general
	[*tro,10]Declare Fatwa; 1825 +2% Recruitable, +15% War Support permanent_revolution_ignition #Requires at war
	[rel*,8]Construct Religious Buildings; 180 days +0.05% Weekly Stability -2 con goods factories build_religious_buildings
	[e-e-r,8]Prayer in Schools; patriotic_schools
	[e-ec-u,4]Develop Rural Regions; ruural_development_spirit
	[e-m-v,8]Veteran Affairs and War Relief; vet_aff_and_relief
Salafism
	[4]Encourage Religious Unity; +2.5% Stability
	[4]Envoke Fanaticism; +2.5% War Support
	[mil,6]Military-Industrial Buildup; {180 days} military_boost_general
	[*tro,10]Declare Jihad; 1825 +2% Recruitable, +15% War Support permanent_revolution_ignition #Requires at war
	[rel*,8]Construct Religious Buildings; 180 days +0.05% Weekly Stability -2 con goods factories build_religious_buildings
	[e-e-r,8]Prayer in Schools; patriotic_schools
	[e-ec-u,4]Develop Rural Regions; ruural_development_spirit
	[e-m-v,8]Veteran Affairs and War Relief; vet_aff_and_relief


####Groups. When adding ideas of different groups, repeal the ones from others first
####Higher levels also repeal older versions [higher level versions to the right]

####{E}conomy Issues
{E}ducation; 
	{C}enter[creative_education academic_state]
	{R}ight[more_escuelas patriotic_schools]
	*{Li}beral[simplified_education privatized_education]
	{A}lt[military_colleges]
{H}ealthcare;
	{L}eft[socialism_healthcare communism_healthcare]
	{U}naligned[medical_science medical_apotheosis]
	{Li}beral[reduce_medical_bills privatized_healthcare]
{F}inance;
	{L}eft[safety_net welfare_state_plus]
	{C}enter[subsidies_basic subsidy_economy]
	{Li}beral[save_money save_more_money]
{Ec}onomy;
	{L}eft[activate_communism communism_intensifies]
	{U}naligned[rural_development_spirit]
	{R}ight/Liberal[activate_capitalism capitalism_intensifies]
{M}ilitary;
	{A}nti-{M}ilitary[cheap_army cheap_ass_army]
	Pro-Military[more_mil_staff even_more_mil_staff]
	#vet_aff_and_relief only repeals veteran_affairs_generic
####{S}ocial Issues
{L}abor;
	{Li}beral[gen_pro_employer_1 _2]
	{M}oderate[gen_balanced_workers_1 _2]
	{L}eft[gen_pro_union_1 _2]
{E}nvironment;



	
